ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU02451	48.2	43	43.3	45.7	41.8	39.1
NCU02452	10.7	8.7	12.2	9.6	16.6	9.4
NCU02453	409.5	367.5	345.3	348.9	392.3	317.7
NCU02455	212	211.9	236	234.9	163.3	204.7
NCU02456	14.1	13.9	10.7	9.8	12.2	13.7
NCU02457	4.6	3.5	5	5	5.4	8.2
NCU02458	24	28	24.9	17.6	33.5	26.6
NCU02459	95.6	92.1	62.9	65.6	76.2	51.8
NCU02460	97.9	101.1	133.5	157.7	156.3	175.9
NCU02461	18.3	16.9	21	18.9	36	22.4
NCU02463	102.7	118.3	89	93.2	93.6	97.9
