ORF	WT	Opt
NCU00654	15	16.5
NCU00655	136.8	167
NCU00656	34.7	23.5
NCU00657	22.3	22.7
NCU00658	0	0.2
NCU00659	7.4	3.4
NCU00660	12.9	11.4
NCU00662	11	16.2
NCU00663	14.8	10.3
NCU00664	29.7	40.8
NCU00665	95.3	73.1
NCU00666	17.6	11.1
NCU00667	100.8	84
NCU00668	60.1	49.6
NCU00669	149.9	124
NCU00670	250.8	143.7
NCU00671	16.9	9.8
NCU00673	903.3	943.2
NCU00674	0.1	0.1
NCU00675	22.8	27.2
NCU00676	16	38.5
NCU00677	0.3	0.7
NCU00678	12.8	3.9
NCU00679	0	0.1
NCU00680	236.7	146
NCU00681	29.7	37.9
NCU00682	90.6	146.5
NCU00684	46.6	46.9
NCU00685	351.1	237.9
NCU00687	146.8	141.2
NCU00688	0.9	2.9
NCU00689	3.7	3.5
NCU00690	10.5	9.5
NCU00691	8.4	9
NCU00692	214.1	222.2
NCU00693	20.8	47.3
NCU00694	22.2	17.3
NCU00695	39.5	71.9
NCU00696	112.2	162.5
NCU00697	0.2	0.4
NCU00698	0.1	0
NCU00699	3.6	5.3
NCU00700	0	0
NCU00701	6.9	9.8
NCU00704	0	0
NCU00705	0	0
NCU00706	1535.2	912.6
NCU00707	85.5	80.9
NCU00708	0.2	0
NCU00709	0.1	0.1
NCU00710	0.9	3.7
NCU00711	4.2	3.2
NCU00712	156.3	120.4
NCU00713	20	40.8
NCU00714	255.4	216.5
NCU00715	9.6	24.9
NCU00716	13.7	56.4
NCU00717	8.5	14.9
NCU00718	0	0.5
NCU00719	8.6	43.8
NCU00720	38.5	97.4
NCU00721	10	10.7
NCU00722	13.1	15.5
NCU00723	8.4	7.6
NCU00724	0.1	0
NCU00725	92.8	102.4
NCU00726	3290.7	2179.8
NCU00727	29.5	20.8
NCU00728	0.1	0.1
