ORF	WT	Opt
NCU03574	30.3	23.8
NCU03575	323.4	236.2
NCU03576	14.6	15.7
NCU03577	0	0
NCU03578	18.9	25
NCU03579	21.8	46
NCU03580	0	0
NCU03581	0	0
NCU03582	0	0
NCU03583	0	0
NCU03584	0	0.2
NCU03585	0	0
NCU03588	48.1	80.5
NCU03589	5.6	16.2
NCU03590	14.2	29.2
NCU03591	79.4	78.9
NCU03592	16.5	17.3
NCU03593	34.8	35.2
NCU03596	29.5	58.7
NCU03597	22.4	14.4
NCU03598	18	18.6
NCU03599	0.4	0
NCU03600	142.9	118.8
NCU03601	24.8	32
NCU03602	103	63.2
NCU03603	64.1	53.3
NCU03604	0.5	0.7
NCU03605	43.9	37.9
NCU03606	82.7	64.6
NCU03607	63.7	40.6
NCU03608	2845.5	1300.5
NCU03610	46.8	81.2
NCU03611	215.1	130.8
NCU03613	45.5	27.9
NCU03614	0	0
NCU03616	71.2	102
NCU03617	43.3	14.7
NCU03618	0.1	0
NCU03620	0	0
NCU03621	28.9	22.7
NCU03622	25.2	42.5
NCU03623	71.3	104.6
NCU03624	26.4	23.4
NCU03625	121.9	87.6
NCU03626	0.4	0.6
NCU03627	14.6	10.8
NCU03628	35.1	20.4
NCU03629	25.6	16
NCU03630	22.2	50.6
NCU03631	23	56.8
NCU03632	45.8	93
NCU03633	93.7	147.3
NCU03634	144.6	224.4
NCU03635	1150.3	899.6
NCU03636	24	35.5
NCU03637	116	75.2
NCU03638	79.6	133.6
NCU03639	1	28.4
NCU03640	0	0
NCU03641	1.3	0.8
NCU03643	5.1	8.7
NCU03644	0	0
NCU03645	2.9	4
NCU03646	0.9	0.1
NCU03647	14.7	7.5
NCU03648	10.2	14.3
NCU03649	10.9	6.6
NCU03650	5.7	3.5
NCU03651	365.3	245.8
NCU03652	4.8	14.7
NCU03653	47.8	73.7
NCU03654	12.9	15.9
NCU03657	48.8	30.3
NCU03658	21	19.3
NCU03659	22.1	10
NCU03660	23.4	25.6
NCU03661	33.2	59.9
NCU03662	117.2	99.9
NCU03665	0	0
NCU03667	32.6	40.8
NCU03668	18.9	14.5
NCU03669	50.9	55.9
NCU03670	8.2	6.5
NCU03673	1.2	0.5
NCU03675	11.3	9
NCU03678	48.2	43.2
NCU03679	120.8	184.4
NCU03681	33.6	22.4
NCU03682	10.3	9.6
NCU03684	22.7	87.9
NCU03685	5.9	4.8
NCU03686	43.4	26.1
NCU03689	0.3	0
NCU03690	140.2	102.7
NCU03691	13.8	14.3
NCU03692	8.3	9.7
NCU03693	14.2	25.6
NCU03694	18.3	16.6
NCU03695	76.7	65.4
NCU03696	10.6	24.9
NCU03697	17.9	16.4
NCU03698	0.9	1.2
NCU03699	53.8	43.1
NCU03700	0	0
NCU03701	0	0
NCU03702	267.5	224.7
NCU03703	1354.5	739.5
NCU03704	65.5	115.4
NCU03707	0	0
NCU03708	16.5	31.4
NCU03709	5.9	0.2
NCU03710	9.7	18.5
NCU03711	234.2	331.4
NCU03712	3.7	4.8
NCU03713	170	112.5
NCU03714	27.2	20.8
NCU03715	7.3	6.5
NCU03716	17.6	15.1
NCU03717	93	74.5
NCU03718	17	26.6
NCU03719	8.1	9.1
NCU03721	0	0
NCU03725	161.1	136.3
NCU03726	11.7	27.1
NCU03727	31.1	26.7
NCU03728	14.8	19.1
NCU03730	9.8	8.8
NCU03731	287.1	158.4
NCU03732	70.5	72.7
NCU03733	10.8	4.8
NCU03735	150.2	131.8
NCU03736	5.7	14.3
NCU03737	342.2	214.8
NCU03738	1324.4	354.2
NCU03739	403.1	334.6
NCU03740	7.4	7.4
NCU03741	59.1	30
NCU03742	4	3
NCU03746	0.1	0
NCU03747	36.6	22.1
NCU03748	518	273.2
NCU03749	188.1	156.5
NCU03750	7.6	9.8
NCU03751	0	0.3
NCU03752	48	57
NCU03753	4863.1	261.5
NCU03754	11	12.6
NCU03755	84	136.5
NCU03756	16.3	11.7
NCU03757	1447.3	1121.1
NCU03758	13.7	10.4
NCU03759	26.7	13.7
NCU03760	11.5	7.8
NCU03761	3.3	5.8
NCU03762	0.1	0.1
NCU03763	18.3	19.1
NCU03764	23.5	36.8
NCU03765	28.7	30.1
NCU03766	145.1	116
NCU03767	0.1	0
NCU03768	108.5	62.8
NCU03769	47.1	32.6
NCU03770	93.3	105.1
NCU03771	11.7	9.3
NCU03773	20.3	12.2
NCU03774	20.7	37
NCU03775	0	2.4
NCU03776	2.4	33.8
NCU03777	174.6	107.6
NCU03778	187.2	124.8
NCU03779	127.4	114.8
NCU03780	16.7	16.2
NCU03781	105.8	196.3
NCU03782	52.5	40.9
NCU03783	55.4	44.9
NCU03784	11	9.5
NCU03785	0	0.1
NCU03786	107.5	89.4
NCU03787	8.6	7.4
NCU03788	0	0.6
NCU03789	0.1	0
NCU03790	7.6	5.7
NCU03791	448.1	466
NCU03792	28.1	23.7
NCU03793	22.9	15.1
NCU03794	25.8	28.2
NCU03795	284	310
NCU03796	21.7	25.2
NCU03797	122.1	92.7
NCU03798	25	42.7
NCU03799	46.1	50.9
NCU03800	134.6	108.8
NCU03801	118.7	48.1
NCU03802	37.6	150.1
NCU03803	75.1	27.1
NCU03804	222.7	155.9
NCU03805	0	0.8
NCU03806	1816.8	1305.4
NCU03807	42.4	31.7
NCU03808	11.1	9.2
NCU03809	13.9	14.9
NCU03810	30.6	36.4
NCU03811	17.2	14.6
NCU03813	30.4	41.1
NCU03814	36.5	26.4
NCU03815	23.2	21.6
NCU03816	6.7	10.1
NCU03817	5.9	5.7
NCU03818	30.6	26.3
NCU03819	32.1	32.2
NCU03820	16.5	10.8
NCU03821	1	1.5
NCU03822	4.8	4.2
NCU03823	22	15.6
NCU03824	21.2	29.9
NCU03825	11.7	11.7
NCU03826	2278.8	1143.6
NCU03827	83	70.6
NCU03828	0.3	0.2
NCU03829	0	0
NCU03830	40.5	34.6
NCU03831	0	0
NCU03833	127.9	155.6
NCU03834	23.6	17.3
NCU03835	0	0
NCU03836	42	43.6
NCU03837	40.2	33.9
NCU03838	34.5	54.4
NCU03839	17	31.5
NCU03840	4.9	7.9
NCU03843	0	0
NCU03844	0.1	0
NCU03846	27.1	29.6
NCU03847	1.5	2
NCU03848	0.3	0.3
NCU03850	27.9	17.6
NCU03851	3.8	5.2
NCU03852	10.9	6.9
NCU03853	138.3	134.1
NCU03854	19.5	23.8
NCU03855	67.6	61.4
NCU03856	0	0
NCU03857	847.7	371.9
NCU03858	42.7	39.9
NCU03859	140.1	111.5
NCU03860	55.5	52.4
NCU03861	0.1	0.3
NCU03862	4.3	3.3
NCU03863	49.2	45.1
NCU03864	0	0
NCU03868	0.1	0.2
NCU03870	200.8	120
NCU03873	128.7	265.1
NCU03874	30.5	23.1
NCU03875	86	71.1
NCU03876	335.1	327.4
NCU03877	223.3	209.4
NCU03878	5.3	6.6
NCU03879	0	0
NCU03880	113.3	80.5
NCU03881	76.4	68.3
NCU03882	137.8	263
NCU03883	51.9	38.7
NCU03884	10.3	17.1
NCU03885	22.6	26.2
NCU03886	105.5	79.5
NCU03887	88	104.5
NCU03888	85.2	78.8
NCU03889	31	25.6
NCU03890	48.5	43.3
NCU03891	36	35.7
NCU03892	28.7	21.3
NCU03893	357.4	109.3
NCU03894	61.1	63.3
NCU03895	0	0
NCU03897	427.5	283.4
NCU03898	15.7	21.5
NCU03899	25.1	26.8
NCU03901	57.2	60.1
NCU03903	3.7	5.5
NCU03904	71.9	195.6
NCU03905	86	92.9
NCU03906	58.7	88
NCU03907	20	38.5
NCU03908	36.7	47.3
NCU03909	27.7	45.7
NCU03910	186.6	203.1
NCU03911	119.4	132.2
NCU03913	6.2	9.7
NCU03914	4.2	4.1
NCU03915	15.1	14.2
NCU03918	0	0.2
NCU03921	5	7.2
NCU03922	754.4	547
NCU03924	27.9	21.3
NCU03925	20.7	29.7
NCU03926	58.4	96.2
NCU03928	9	16.4
NCU03929	56.4	42.7
NCU03931	12.3	7.8
NCU03932	10	20.4
NCU03934	3.6	9.2
NCU03935	357.8	233.4
NCU03936	40.3	46.2
NCU03937	10.2	11.2
NCU03938	13.1	15.9
NCU03940	0.3	0
NCU03944	145.6	116
NCU03946	74	115.9
NCU03947	144.9	144.2
NCU03948	35.8	31.8
NCU03949	176.3	344.9
NCU03950	56.7	30.6
NCU03952	37	27.8
NCU03953	202.7	250.7
NCU03954	52	22.2
NCU03955	21.1	22.1
NCU03956	58.3	47.9
NCU03957	45.7	63.7
NCU03960	37	241.7
NCU03961	41.4	31.2
NCU03962	5	3.7
NCU03963	69.8	86.4
NCU03964	23.9	15.4
NCU03965	7.5	5.7
NCU03966	22.3	24
NCU03967	316.2	449.1
NCU03968	7.8	8.3
NCU03969	0.7	2.3
NCU03970	35	69.9
NCU03971	47.2	49.5
NCU03972	192.3	215.5
NCU03973	50.5	52.7
NCU03974	0	0
NCU03975	50.9	41.6
NCU03976	0	0.3
NCU03977	0	0
NCU03978	0.4	1.7
NCU03979	288	269.3
NCU03980	230.9	295.9
NCU03981	45.8	49.2
NCU03982	645.1	710.9
NCU03983	0	0
NCU03984	0	0.3
NCU03985	9.4	8.3
NCU03986	28.1	18.1
NCU03988	1243.3	1073.8
NCU03989	24.9	18.1
NCU03990	263.6	181.9
NCU03991	0	0.7
NCU03992	392.8	288.4
NCU03993	33.7	44.3
NCU03994	13.5	17.8
NCU03995	105.6	70.1
NCU03996	0.1	0
NCU03997	53.6	46
NCU03998	25.2	21.7
NCU04001	46.4	51.4
NCU04002	17.7	33.8
NCU04003	176.2	134.9
NCU04005	268	226.4
NCU04006	0	0
NCU04007	37.8	27.3
NCU04008	5.2	2.9
NCU04009	40.8	49.8
NCU04010	18	33.6
NCU04012	0	0.1
NCU04013	217.1	250.9
NCU04014	9.5	8.9
NCU04015	36.9	29
NCU04016	59.9	170.1
NCU04017	81.8	69.8
NCU04018	5.9	3.9
NCU04019	121.9	103
NCU04020	414.9	247.7
NCU04021	10.5	6.4
NCU04022	49.3	59.7
NCU04024	14	16
NCU04025	1.6	0.3
NCU04026	0	0
NCU04027	0	0
NCU04028	0	0
NCU04029	0.2	0
NCU04030	1.4	0.4
NCU04031	0	0.2
NCU04032	15	30
NCU04033	0	0
NCU04034	0.1	0.2
NCU04035	26.1	21.8
NCU04036	44.4	101.4
NCU04037	7.8	6
NCU04038	0.1	0.5
NCU04039	54.6	110.6
NCU04040	43.1	34.8
NCU04041	17.2	17.9
NCU04042	27.4	31.3
NCU04043	6.9	17.1
NCU04044	336	277
NCU04045	5	13.8
NCU04046	12.7	6.1
NCU04047	37	45.8
NCU04048	63.1	45.4
NCU04049	102.7	39.2
NCU04050	272	376.8
NCU04051	138.5	79.8
NCU04052	0	0
NCU04053	10.3	8.1
NCU04054	1390	1351.3
NCU04058	25.1	37
NCU04059	48.1	42.3
NCU04060	0.4	0.1
NCU04061	9.8	16.1
NCU04062	3.7	5.8
NCU04063	167.5	194.2
NCU04064	1.7	0.7
NCU04065	0.9	0.6
NCU04066	0.2	0.2
NCU04067	2.2	0.4
NCU04068	33	52.4
NCU04069	204.6	167.7
NCU04070	2	1.3
NCU04071	22.5	12.2
NCU04072	4.7	2.6
NCU04073	37.2	29.8
NCU04074	272.8	309.4
NCU04075	15.3	17.9
NCU04076	4	3
NCU04077	244.1	155.4
NCU04078	1.4	1
NCU04079	9.1	6.7
NCU04080	5.6	12.6
NCU04081	5.7	10.3
NCU04082	22.8	53.3
NCU04083	0.1	0
NCU04084	1.3	2.2
NCU04085	0	0
NCU04086	47.8	55.7
NCU04087	123.6	113
NCU04088	13.2	23.2
NCU04089	0.1	0.2
NCU04090	67.9	52.2
NCU04091	25.8	22.6
NCU04092	65.6	61.8
NCU04095	12.3	8
NCU04096	6.8	7.1
NCU04097	179	483.8
NCU04098	75.4	79.4
NCU04099	1.1	1.5
NCU04100	186.2	166
NCU04101	24.9	25.8
NCU04102	11.5	22.2
NCU04103	1.3	3.2
NCU04104	112.5	60.2
NCU04105	16.7	10.2
NCU04106	12.8	49.1
NCU04107	0	0
NCU04108	18.3	25.9
NCU04109	182.7	117.3
NCU04110	95.3	64.4
NCU04111	45.7	25.5
NCU04112	2.1	5.1
NCU04113	6.7	4.3
NCU04114	1331.4	962.7
NCU04115	186.2	271.3
NCU04116	36.2	26
NCU04117	23.6	17.5
NCU04118	156.2	157.8
NCU04119	13.4	14.5
NCU04120	909.9	1273.4
NCU04121	79.2	64.3
NCU04122	54.1	317.8
NCU04123	0	0
NCU04124	32.8	34
NCU04125	12.3	10.1
NCU04126	0	0
NCU04127	239.3	229.9
NCU04128	0.1	0.2
NCU04129	101.1	64.1
NCU04130	24.5	43.8
NCU04131	6.7	6.8
NCU04132	3.5	2.3
NCU04133	87.4	49.1
NCU04134	0.3	0
NCU04135	6.7	12.2
NCU04136	50.7	35.1
NCU04137	105.1	96.2
NCU04138	38.5	85.4
NCU04139	4.6	9.5
NCU04140	1840.2	1328.8
NCU04142	1197.6	1358.5
NCU04143	16.6	17
NCU04144	58.1	18
NCU04145	35.8	39.7
NCU04146	0	0
NCU04147	2.3	1
NCU04148	0	1.4
NCU04149	3.8	3.7
NCU04150	44.7	64.7
NCU04151	20.1	49.9
NCU04152	20.9	15.6
NCU04153	49.7	38
NCU04154	3.7	12.2
NCU04155	28.1	29.8
NCU04156	103	145
NCU04158	36	31.4
NCU04159	41.2	49.5
NCU04160	56.3	44.4
NCU04161	10.1	13.9
NCU04162	0	0
NCU04163	0	1.6
NCU04164	291.9	297.1
NCU04165	43.4	54.3
NCU04166	52.2	61.1
NCU04167	0.2	0.8
NCU04168	0.7	4.6
NCU04169	1.9	10.8
NCU04170	0.1	0.4
NCU04171	69.6	53.4
NCU04172	73.5	107.3
NCU04173	3148.2	1965.5
NCU04174	8.1	14.7
NCU04175	59.9	97.7
NCU04176	22.1	21.1
NCU04177	33.5	52.2
NCU04179	42.7	63.5
NCU04180	4.1	4.4
NCU04181	169.6	93.3
NCU04182	31.3	23
NCU04185	333.7	252.4
NCU04187	80	68
NCU04188	104.8	97.2
NCU04189	70.8	80.4
NCU04190	38.5	24.7
NCU04191	12.2	10.5
NCU04192	223.7	200.2
NCU04193	25.2	53.3
NCU04194	5.5	2.8
NCU04195	119.8	83
NCU04196	23.6	18.9
NCU04197	28.5	225.6
NCU04198	10.5	14.3
NCU04199	28.6	38.8
NCU04201	6.9	5.4
NCU04202	1027.5	750.5
NCU04203	169.1	94.5
NCU04205	0.3	9.3
NCU04206	6.9	31.6
NCU04207	8.2	10.7
NCU04208	1.1	0.4
NCU04209	0	0
NCU04211	0.4	0
NCU04212	42.3	28.9
NCU04213	93.6	79.4
NCU04214	0	0
NCU04216	83.3	51.4
NCU04218	7.9	19.6
NCU04219	0	0
NCU04221	178.7	146.6
NCU04222	0	0.2
NCU04223	0.1	0
NCU04224	23.3	17.8
NCU04225	67.4	51.2
NCU04226	0	0
NCU04227	76.5	105.2
NCU04228	35.1	138.1
NCU04229	2.6	3.4
NCU04230	94.1	103.5
NCU04231	0.1	0.1
NCU04232	127.4	185.7
NCU04233	0	0
NCU04234	0	0
NCU04235	0	0
NCU04236	0	0
NCU04237	37	63
NCU04238	74.3	218.4
NCU04241	24	30.9
NCU04242	46.3	35.2
NCU04243	33.2	30.9
NCU04244	135.2	158.5
NCU04245	257.7	156
NCU04246	44.9	83.5
NCU04247	63.3	51.5
NCU04249	51.4	63.3
NCU04251	67.2	102.4
NCU04252	68.2	70.1
NCU04254	14.5	11.8
NCU04255	25.4	40.7
NCU04256	45.4	42.7
NCU04258	49.8	46.1
NCU04259	19.7	15.3
NCU04260	7.8	29.6
NCU04261	7.5	22.8
NCU04262	63.9	43.6
NCU04264	41	44.9
NCU04265	8.6	58.5
NCU04266	147.9	57.4
NCU04267	0.1	0
NCU04268	65.7	105.9
NCU04269	0.8	1.1
NCU04270	39.8	33.3
NCU04272	247.1	216
NCU04273	23.8	40.2
NCU04274	28.6	46.4
NCU04275	9.5	6.6
NCU04276	8632.9	4086.8
NCU04277	215	195.1
NCU04278	1.4	1.6
NCU04279	33.6	40.7
NCU04280	177.4	102.1
NCU04281	36.2	25.6
NCU04282	0	3.2
NCU04283	25.9	40.6
NCU04284	504.3	144
NCU04285	1.2	0.2
NCU04286	0.2	0
NCU04287	488.4	898.6
NCU04288	139.6	107.5
NCU04289	98.5	176.6
NCU04290	12	10
NCU04291	4.9	6.5
NCU04292	115.5	103.6
NCU04293	25.4	57.2
NCU04294	0	0.1
NCU04295	2.2	0.9
NCU04297	0.1	0.1
NCU04298	0.2	0.2
NCU04299	0.5	0.3
NCU04300	4.6	9.1
NCU04301	49.7	64.2
NCU04302	43.5	54.3
NCU04303	446.6	393.1
NCU04304	1250.3	885.1
NCU04305	10.5	12
NCU04306	151.3	128.5
NCU04307	42	30.6
NCU04308	9.8	13.9
NCU04309	17.7	27.3
NCU04310	3.4	4
NCU04312	7.6	11.4
NCU04313	5	5
NCU04314	1756.1	3079.9
NCU04315	159.4	296.2
NCU04316	35.3	42.8
NCU04317	47.6	45.8
NCU04318	1.1	4
NCU04319	14.8	14.2
NCU04320	19.3	15
NCU04321	10.4	13.3
NCU04322	6.6	6
NCU04323	84.5	119.1
NCU04324	17.6	25.5
NCU04325	14.4	9.9
NCU04326	4.2	2.2
NCU04327	39.3	23.8
NCU04328	17.8	13.6
NCU04329	20.1	15
NCU04330	0	0
NCU04331	2319.9	1333.9
NCU04332	5.5	6.1
NCU04333	54.1	42.7
NCU04334	97.9	93.2
NCU04335	34.9	28.7
NCU04336	40.9	41.1
NCU04337	363.5	315.4
NCU04338	13.8	6.6
NCU04339	23.7	62.5
NCU04340	11.7	22.2
NCU04341	5.3	2.4
NCU04342	352	281.6
NCU04343	608.6	384.7
NCU04344	100	138.2
NCU04345	20.9	30.5
NCU04346	0.1	0.1
NCU04347	8.7	16.9
NCU04348	27.4	26.7
NCU04350	123.5	92.8
NCU04351	0	0
NCU04352	107.4	89.7
NCU04353	3.2	3.9
NCU04354	10.6	8.7
NCU04355	19.5	26.5
NCU04356	0	0
NCU04357	0	0
NCU04358	8.7	6.9
NCU04359	5.5	11.6
NCU04360	42.5	135.6
NCU04362	14.3	19
NCU04363	47.9	36.3
NCU04364	11.4	10.2
NCU04365	0	0
NCU04366	0	0
NCU04367	0	0.2
NCU04368	51.3	45.7
NCU04369	4.5	4.4
NCU04370	432.2	326
NCU04371	91.1	39.5
NCU04373	63.8	67.9
NCU04374	2.6	7.3
NCU04375	0	0.2
NCU04376	25.1	41.3
NCU04378	14.6	9.3
NCU04379	198.2	178
NCU04380	228.5	191
NCU04381	2.3	3.7
NCU04382	21.3	17.5
NCU04383	10.8	8.8
NCU04384	0	0
NCU04385	571.4	290.7
NCU04386	15.6	15.1
NCU04387	187.4	144.3
NCU04388	176.7	184.2
NCU04389	31.4	23.2
NCU04390	14.9	5.5
NCU04391	0.2	0
NCU04392	0	0
NCU04393	0.7	0.2
NCU04394	0.1	0
NCU04395	12.9	5.5
NCU04396	0.1	0.2
NCU04397	0	0.1
NCU04398	0.1	0.4
NCU04400	0	0
NCU04401	1.5	3.1
NCU04402	14.6	8.4
NCU04403	5.3	4.2
NCU04404	202.4	188.9
NCU04405	88.2	83.5
NCU04406	46.7	75
NCU04407	18	14.5
NCU04408	5.9	5.9
NCU04409	65.1	45.2
NCU04410	145.8	119.5
NCU04411	84.2	109.6
NCU04412	39.2	52.4
NCU04413	25.6	33.5
NCU04414	255.3	256.9
NCU04415	613	43.3
NCU04416	3.1	1
NCU04417	0	0
NCU04418	26.5	18.8
NCU04419	4.3	0.3
NCU04420	0	0
NCU04421	55.1	66.6
NCU04423	9.6	8.4
NCU04424	0.3	0
NCU04425	6.8	7.5
NCU04426	17.1	16.9
NCU04427	51.1	64.2
NCU04428	16.8	16.5
NCU04429	39	24.6
NCU04430	4.5	50.8
NCU04431	0	0
NCU04432	0	0.3
NCU04433	100.7	118.3
NCU04435	10	14.5
NCU04436	3.2	3.3
NCU04437	3.7	3.6
NCU04438	0.3	0
NCU04439	16.4	22.8
NCU04440	8.1	7.7
NCU04442	198.3	151.4
NCU04443	115.7	197.1
NCU04444	10.5	7.3
NCU04445	0.1	0.1
NCU04446	1.8	0.5
NCU04447	0.4	0.5
NCU04448	292.6	213.7
NCU04449	260.7	169.5
NCU04450	3.2	1.6
NCU04451	0.1	0.2
NCU04452	214.1	396.4
NCU04453	3.5	4.2
NCU04454	118.6	83.5
NCU04455	15.3	10
NCU04456	13.9	14.5
NCU04457	25.8	27.9
NCU04459	25.3	31.9
NCU04460	99.9	84.8
NCU04461	120.1	111.5
NCU04462	115.5	102.7
NCU04463	86.4	54.8
NCU04464	0	0.1
NCU04465	9.5	6.1
NCU04466	32.1	29.1
NCU04467	8.9	81.5
NCU04468	16.7	23
NCU04469	17.2	22.5
NCU04470	59	64.3
NCU04471	0	0.2
NCU04472	21.1	7.5
NCU04473	34.1	15.7
NCU04474	20.1	2.5
NCU04475	0.2	1.8
NCU04476	0	0.2
NCU04477	0	0
NCU04478	0.7	0.7
NCU04479	434.1	384.1
NCU04480	35.8	11.4
NCU04481	21.5	17.8
NCU04482	13.1	1.9
NCU04483	59.4	52
NCU04484	0.2	0.2
NCU04485	30.7	48.5
NCU04486	5.1	3.7
NCU04487	53.3	29.8
NCU04488	58.8	140.7
NCU04490	1.7	0.2
NCU04491	48.7	128.9
NCU04492	3.8	4.8
NCU04493	338.1	226.1
NCU04494	3.4	11.3
NCU04495	9.7	6.9
NCU04496	1.3	61
NCU04497	1.2	5.7
NCU04498	24.5	25.5
NCU04499	3.9	4.2
NCU04500	0.1	0
NCU04501	0.3	0.7
NCU04502	410.9	650.3
NCU04503	39	64.9
NCU04504	17.5	21.3
NCU04505	15.4	24.3
NCU04506	7.2	7.7
NCU04507	56.4	60.7
NCU04508	41.5	75
NCU04509	4	5
NCU04510	2056.1	468.3
NCU04511	111.8	101.2
NCU04512	9.9	10
NCU04513	75.6	81
NCU04514	15.5	14.5
NCU04515	0	0
NCU04516	155.3	279
NCU04518	37.7	17.4
NCU04519	63.4	51.7
NCU04520	0	0
NCU04521	6.1	3.2
NCU04522	4.8	12.3
NCU04523	13.7	15.2
NCU04524	0	0
NCU04525	15.8	20.3
NCU04526	40	19.6
NCU04528	1.6	2.1
NCU04529	0	0.4
NCU04531	2.7	3.8
NCU04532	1.1	2.5
NCU04533	6.6	9.8
NCU04534	32.3	24.5
NCU04535	56.7	60.1
NCU04537	0.1	0.1
NCU04538	2.6	1.1
NCU04539	4.9	5.7
NCU04540	45.7	41.6
NCU04541	42.8	107.8
NCU04542	139.3	545.4
NCU04543	171.2	420.1
NCU04544	0.8	1.4
NCU04545	8.6	12.6
NCU04546	0.2	0
NCU04547	0	0.1
NCU04548	14.4	7.9
NCU04549	14.3	40.8
NCU04550	5.3	7.4
NCU04551	0	0
NCU04552	1433	1133.2
NCU04553	2663.2	2038.1
NCU04554	57.8	76
NCU04555	0.2	0.2
NCU04556	0.1	0.3
NCU04557	0	0.3
NCU04558	36.8	62
NCU04559	0	0
NCU04560	0	0
NCU04561	0	0.2
NCU04563	0	0.8
NCU04566	59.9	44.7
NCU04569	276.3	224.6
NCU04570	12.1	12.8
NCU04571	29.9	35.7
NCU04572	0	0
NCU04573	0	0.2
NCU04574	0.6	0.1
NCU04575	3.1	2.6
NCU04576	0	0
NCU04577	6.9	12
NCU04578	86.2	64.4
NCU04579	389.6	219.7
NCU04580	35.7	80
NCU04581	15.6	15.4
NCU04583	187.7	500.1
NCU04584	14.5	11.3
NCU04585	11.1	9.8
NCU04586	0	0
NCU04588	60.1	103.4
NCU04589	3.7	79.6
NCU04590	17.7	34
NCU04591	12.1	4
NCU04592	110.3	120.9
NCU04593	0.1	0
NCU04594	49.2	68.3
NCU04595	22.6	47.5
NCU04596	76.6	34.8
NCU04597	45.5	70.3
NCU04598	18.3	29.1
NCU04600	466	503.8
NCU04601	0	0
NCU04602	30.7	21.4
NCU04603	234	53.2
NCU04604	17.4	19.1
NCU04605	213.3	36.2
NCU04606	30.6	28.6
NCU04607	0	0.3
NCU04608	0.2	0
NCU04609	9.7	6.4
NCU04610	35.2	43.9
NCU04611	69.8	64.9
NCU04612	77.3	88
NCU04613	25.9	32.3
NCU04614	14.4	9.1
NCU04615	12.1	8.1
NCU04616	0.2	0
NCU04617	14.9	13.8
NCU04618	0.5	2.6
NCU04619	4	9.3
NCU04620	20.7	45.6
NCU04621	3.5	3.6
NCU04622	17.1	35
NCU04623	1.3	0.2
NCU04624	0	0.2
NCU04625	0	0.1
NCU04626	1.1	3.1
NCU04627	0	0.3
NCU04628	11.8	11.4
NCU04630	0.4	0.2
NCU04631	0.1	0.1
NCU04632	0.2	0.1
NCU04633	42	35.2
NCU04634	0	0
NCU04635	69.7	63.2
NCU04636	154.6	98.3
NCU04637	54	49.6
NCU04638	0.2	0.8
NCU04639	97	359.8
NCU04640	418.8	498.1
NCU04641	5	6.5
NCU04642	41.1	87.1
NCU04643	34.5	35
NCU04644	31.8	55.4
NCU04645	89.1	172.5
NCU04646	28	17.1
NCU04647	35.2	22.7
NCU04648	61.3	64.1
NCU04649	6.7	14.1
NCU04650	36	46.4
NCU04651	84.6	67.7
NCU04652	22.8	33.6
NCU04653	17.1	32.7
NCU04654	22.5	36.8
NCU04655	94.1	251.4
NCU04656	209.8	112.4
NCU04657	0.8	1.2
NCU04658	0	0
NCU04661	12.6	20.3
NCU04662	4.9	5.7
NCU04663	19	23.6
NCU04665	4.8	5.2
NCU04667	75	4.5
NCU04669	54.9	11.2
NCU04670	13.4	16.9
NCU04671	14.7	5.9
NCU04672	1	0.3
NCU04673	30.6	28
NCU04674	3.8	3.9
NCU04675	58.2	37.6
NCU04676	131.4	78.6
NCU04689	0	0
NCU04690	1.3	1.3
NCU04691	0	0
NCU04692	0	0.3
NCU04694	0	0.1
NCU04695	4.5	11
NCU04697	0.1	1.5
NCU04698	66.9	68.9
NCU04699	153.4	121.9
NCU04700	0	0
NCU04701	0	0.4
NCU04702	0	0.2
NCU04703	0.2	0
NCU04704	0	0
NCU04705	0	0
NCU04706	0.2	0
NCU04707	0	0
NCU04708	0.1	0.2
NCU04709	0	0
NCU04710	0	0
NCU04713	10.3	14.9
NCU04718	77.1	74.7
NCU04719	0	0
NCU04720	447.2	717.7
NCU04721	0.3	1
NCU04722	0	0
NCU04723	0.1	0.2
NCU04724	38.4	33.6
NCU04725	1	2.7
NCU04726	12.7	17.3
NCU04727	0.1	0.2
NCU04728	2	2.7
NCU04729	5.7	6.3
NCU04730	53	36.3
NCU04731	71.5	100.7
NCU04732	57.7	132.1
NCU04733	2	2.1
NCU04734	1.1	0.4
NCU04735	0	0
NCU04736	176	104.4
NCU04737	21.6	26.8
NCU04738	14.6	12.9
NCU04740	20	22.3
NCU04741	8	12.3
NCU04742	60.7	79.2
NCU04743	22.7	31
NCU04744	0	0
NCU04746	0.2	0
NCU04747	48.7	52.9
NCU04748	0.9	0.7
NCU04749	9.2	5.1
NCU04750	17.8	12.5
NCU04751	0.4	0.1
NCU04752	0	0.1
NCU04753	150	101.1
NCU04754	277.4	235.4
NCU04755	15.6	14.5
NCU04757	109.4	158.4
NCU04759	579.6	473.4
NCU04760	136.8	105.2
NCU04761	62.8	46.3
NCU04762	28	41.4
NCU04764	12.2	19.4
NCU04765	37.9	17.1
NCU04766	61.5	46.5
NCU04767	8.7	13.7
NCU04768	134.1	91.6
NCU04770	141.7	144
NCU04771	20.1	16.1
NCU04772	10.7	12.7
NCU04773	7.1	9
NCU04774	31.4	22.6
NCU04775	21.6	21.5
NCU04776	3.7	10.5
NCU04777	25.9	36.6
NCU04778	0.4	0.3
NCU04779	1139	1193.9
NCU04780	35.2	29.8
NCU04781	501.3	483.7
NCU04782	10.6	11.3
