# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_03049	CNC00390	728.411	628.829	0.863	628.137	563.495	0.897
CNAG_03544	CNG00530	753.03	597.894	0.794	655.016	592.301	0.904
CNAG_06779	CNB00200	501.055	681.476	1.36	1007.976	501.387	0.497
CNAG_07676	CNF01240	270.199	503.874	1.865	402.926	663.757	1.647
CNAG_06443	CNN01680	551.697	550.056	0.997	459.546	612.501	1.333
CNAG_05197	CNL04280	679.851	654.541	0.963	383.83	502.361	1.309
CNAG_06734	CNB00680	529.496	614.118	1.16	557.574	541.893	0.972
CNAG_04914	CNJ03360	550.795	596.253	1.083	1516.253	559.505	0.369
CNAG_02833	CNC04490	698.736	661.517	0.947	483.757	494.193	1.022
CNAG_01920	CNK02620	329.757	601.122	1.823	187.717	553.012	2.946
CNAG_03476	CNG01150	211.3	505.799	2.394	191.679	645.531	3.368
CNAG_05932	CNF00430	217.315	634.754	2.921	125.293	514.736	4.108
CNAG_04155	CNI02920	592.828	622.545	1.05	517.482	521.758	1.008
CNAG_03249	CNG03240	332.594	587.814	1.767	667.739	553.8	0.829
CNAG_00305	CNA02890	366.878	552.055	1.505	359.263	582.791	1.622
CNAG_03315	CNG02630	594.177	609.592	1.026	1023.543	522.979	0.511
CNAG_04378	CNI01690	976.878	505.33	0.517	3425.982	621.309	0.181
CNAG_06919	CNK00110	259.049	473.466	1.828	281.989	652.128	2.313
CNAG_02917	CNC05270	233.959	488.153	2.086	513.875	574.121	1.117
CNAG_07004	CND05840	630.313	535.191	0.849	507.204	511.527	1.009
CNAG_07356	CNA03530	317.945	499.23	1.57	327.015	543.328	1.661
CNAG_06226	CNM02270	555.974	544.097	0.979	614.724	493.322	0.803
CNAG_02266	CNE02800	258.585	484.468	1.874	397.32	552.854	1.391
CNAG_01253	CND03700	380.882	526.347	1.382	573.491	510.118	0.889
CNAG_03814	CNB03050	466.868	542.096	1.161	1255.38	491.227	0.391
CNAG_00776	CNA07540	311.122	488.711	1.571	225.574	542.136	2.403
CNAG_05068	CNL05520	517.131	539.801	1.044	511.405	488.321	0.955
CNAG_05425	CNH00920	315.721	486.462	1.541	276.437	539.186	1.95
CNAG_05351	CNH00170	185.951	502.18	2.701	228.317	518.703	2.272
CNAG_00092	CNA00830	429.641	473.538	1.102	1210.895	534.978	0.442
CNAG_01049	CND01790	478.626	522.278	1.091	806.944	484.679	0.601
CNAG_01812	CNC03010	199.978	443.979	2.22	201.643	561.814	2.786
CNAG_00997	CND01250	466.369	475.675	1.02	386.78	528.694	1.367
CNAG_05997	CNM00060	564.575	504.242	0.893	247.663	493.807	1.994
CNAG_03863	CNB03520	292.873	470.481	1.606	360.359	524.938	1.457
CNAG_06437	CNN01630	218.039	517.529	2.374	356.861	476.029	1.334
