# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA04730	24.837	6.775	0.273
CNA04740	38.1	19.117	0.502
CNA04750	57.179	23.095	0.404
CNA04760	3.814	4.793	1.257
CNA04770	10.523	13.805	1.312
CNA04780	60.207	92.24	1.532
CNA04790	56.793	55.944	0.985
CNA04800	25.123	10.586	0.421
CNA04810	14.804	8.549	0.577
CNA04830	32.793	29.065	0.886
CNA04840	6.835	1.392	0.204
CNA04850	141.498	149.679	1.058
CNA04860	96.366	73.511	0.763
CNA04870	49.774	36.708	0.737
CNA04880	19.228	3.976	0.207
CNA04890	6.535	7.127	1.091
CNA04900	11.136	0.17	0.015
CNA04910	7.807	25.096	3.215
CNA04920	289.619	342.312	1.182
CNA04930	301.131	124.738	0.414
CNA04935	4.191	0.036	0.009
CNA04940	127.138	146.168	1.15
CNA04950	266.22	112.345	0.422
CNA04960	9.59	8.303	0.866
CNA04970	4.885	0.186	0.038
CNA04980	35.115	10.187	0.29
CNA04990	215.426	72.445	0.336
CNA05000	3.667	3.03	0.826
CNA05010	58.716	44.157	0.752
CNA05015	85.114	15.514	0.182
CNA05020	60.182	62.876	1.045
CNA05030	5.495	0.836	0.152
CNA05040	0.806	0.233	0.289
CNA05050	28.705	14.677	0.511
CNA05060	5.523	12.543	2.271
CNA05070	38.43	20.986	0.546
CNA05080	3.578	0.462	0.129
CNA05090	106.364	53.376	0.502
CNA05100	13.42	3.527	0.263
CNA05110	97.291	7.846	0.081
CNA05120	29.606	13.644	0.461
CNA05130	13.247	11.265	0.85
CNA05135	16.778	0.209	0.012
CNA05140	329.64	77.06	0.234
CNA05150	84.201	139.678	1.659
CNA05160	1723.347	1122.158	0.651
CNA05170	228.52	125.608	0.55
CNA05180	2231.665	766.133	0.343
CNA05200	11.28	12.534	1.111
CNA05210	958.83	242.102	0.252
CNA05220	33.637	94.909	2.822
CNA05240	5.233	0.849	0.162
CNA05250	1.971	0.469	0.238
CNA05260	26.755	4.435	0.166
CNA05270	12.924	15.781	1.221
CNA05280	2.721	0.707	0.26
CNA05290	7.143	5.461	0.765
CNA05300	4.011	2.825	0.704
CNA05310	8.22	3.346	0.407
CNA05320	19.823	3.705	0.187
CNA05330	60.693	59.75	0.984
CNA05335	96.982	27.613	0.285
CNA05340	24.678	4.164	0.169
CNA05360	6.627	3.133	0.473
CNA05370	31.183	29.863	0.958
CNA05380	27.285	7.105	0.26
CNA05390	69.003	104.666	1.517
CNA05400	187.674	201.691	1.075
CNA05410	8.976	14.486	1.614
CNA05415	22.54	16.977	0.753
CNA05420	468.577	255.005	0.544
CNA05430	41.297	67.28	1.629
CNA05440	72.296	61.243	0.847
CNA05450	15.844	23.943	1.511
CNA05460	10.305	12.233	1.187
CNA05470	89.35	235.609	2.637
CNA05480	5.721	1.515	0.265
CNA05490	185.588	43.965	0.237
CNA05495	1.054	0.758	0.719
CNA05500	101.216	27.524	0.272
CNA05510	35.942	52.704	1.466
CNA05520	247.818	0.563	0.002
CNA05530	0	0	NaN
CNA05540	0	0	NaN
CNA05560	6.893	6.255	0.907
CNA05570	33.495	15.89	0.474
CNA05580	231.225	645.06	2.79
CNA05590	11.85	1.547	0.131
CNA05600	5.538	0.544	0.098
CNA05610	78.36	82.381	1.051
CNA05620	34.056	21.056	0.618
CNA05630	199.643	30.885	0.155
CNA05650	203.994	129.658	0.636
CNA05660	91.262	61.173	0.67
CNA05670	17.385	17.466	1.005
CNA05680	292.073	436.879	1.496
CNA05690	92.022	64.625	0.702
CNA05700	26.862	12.344	0.46
CNA05710	13.336	6.666	0.5
CNA05720	0.04	3.035	75.098
CNA05725	41.731	47.873	1.147
CNA05730	52.86	26.827	0.508
CNA05735	4.342	0.528	0.122
CNA05740	30.506	28.72	0.941
CNA05750	32.558	36.103	1.109
CNA05760	22.37	14.148	0.632
CNA05780	49.22	4.5	0.091
CNA05790	10.373	5.349	0.516
CNA05800	447.776	151.424	0.338
CNA05810	2.028	1.286	0.634
CNA05820	27.39	8.785	0.321
CNA05830	71.367	77.354	1.084
CNA05840	29.004	9.059	0.312
CNA05850	646.993	486.791	0.752
CNA05860	108.329	164.672	1.52
CNA05870	15.839	18.345	1.158
CNA05880	21.373	83.93	3.927
CNA05890	17.312	16.659	0.962
CNA05900	40.917	35.288	0.862
CNA05910	492.902	167.394	0.34
CNA05920	47.155	14.451	0.306
CNA05930	15.496	23.779	1.535
CNA05935	72.714	62.448	0.859
CNA05940	23.653	16.613	0.702
CNA05950	187.896	119.725	0.637
CNA05960	79.826	30.246	0.379
CNA05970	16.535	18.52	1.12
CNA05980	206.195	52.634	0.255
CNA05990	63.477	20.364	0.321
CNA06000	78.192	354.541	4.534
CNA06010	75.225	40.033	0.532
CNA06020	133.16	181.186	1.361
CNA06030	19.781	16.365	0.827
CNA06040	128.886	42.233	0.328
CNA06050	3.587	1.228	0.342
CNA06060	87.627	226.779	2.588
CNA06070	4.994	0.691	0.138
CNA06080	41.127	41.394	1.006
CNA06085	57.664	1.343	0.023
CNA06090	5.514	9.287	1.684
CNA06100	30.684	11.411	0.372
CNA06110	14.571	16.154	1.109
CNA06120	280.405	169.495	0.604
CNA06130	23.657	23.325	0.986
CNA06140	20.841	37.366	1.793
CNA06150	14.049	12.744	0.907
CNA06160	14.481	9.148	0.632
CNA06170	2.225	3.382	1.52
CNA06180	35.555	18.603	0.523
CNA06190	14.363	13.405	0.933
CNA06200	4907.946	6048.428	1.232
CNA06210	46.545	54.028	1.161
CNA06220	1.347	2.016	1.497
CNA06230	31.107	14.56	0.468
CNA06240	19.728	19.364	0.982
CNA06250	40.514	17.135	0.423
CNA06260	35.866	3.347	0.093
CNA06270	240.589	158.107	0.657
CNA06280	15.04	11.698	0.778
CNA06290	72.96	224.275	3.074
CNA06300	7.278	9.981	1.371
